Symbol,Threshold,Max_Streak_Pos,Max_Streak_Neg,Pattern,Pattern_Name,Category,Chance,Prob,Stats
AWC,±1.6%,4,4,----,4_Days_Down,Trend,🟢 UP,75%,3/4 (1523)
BANPU,±1.6%,7,4,+,1_Days_Up,Trend,🟢 UP,43%,407/940 (5000)
BANPU,±1.6%,7,4,-,1_Days_Down,Trend,🔴 DOWN,42%,395/938 (5000)
BANPU,±1.6%,7,4,++,2_Days_Up,Trend,🟢 UP,41%,93/223 (5000)
BANPU,±1.6%,7,4,+-,2D_Reversal_Down,Reversal,🟢 UP,46%,92/199 (5000)
BANPU,±1.6%,7,4,-+,2D_Reversal_Up,Reversal,🔴 DOWN,36%,72/196 (5000)
BANPU,±1.6%,7,4,--,2_Days_Down,Trend,🟢 UP,46%,98/209 (5000)
BANPU,±1.6%,7,4,+++,3_Days_Up,Trend,🔴 DOWN,43%,23/53 (5000)
BANPU,±1.6%,7,4,++-,3D_Reversal_Down,Reversal,🟢 UP,46%,28/60 (5000)
BANPU,±1.6%,7,4,+-+,3D_Mixed_+-+,Mixed,🔴 DOWN,26%,13/50 (5000)
BANPU,±1.6%,7,4,+--,3D_Reversal_Down,Reversal,🟢 UP,45%,19/42 (5000)
BANPU,±1.6%,7,4,-++,3D_Reversal_Up,Reversal,🟢 UP,38%,17/44 (5000)
BANPU,±1.6%,7,4,-+-,3D_Mixed_-+-,Mixed,🟢 UP,50%,26/51 (5000)
BANPU,±1.6%,7,4,--+,3D_Reversal_Up,Reversal,🔴 DOWN,42%,24/56 (5000)
BANPU,±1.6%,7,4,---,3_Days_Down,Trend,🟢 UP,58%,27/46 (5000)
BANPU,±1.6%,7,4,++++,4_Days_Up,Trend,🔴 DOWN,35%,5/14 (5000)
BANPU,±1.6%,7,4,+++-,4D_Reversal_Down,Reversal,🟢 UP,52%,9/17 (5000)
BANPU,±1.6%,7,4,++-+,4D_Mixed_++-+,Mixed,🔴 DOWN,20%,3/15 (5000)
BANPU,±1.6%,7,4,++--,4D_Reversal_Down,Reversal,🟢 UP,66%,10/15 (5000)
BANPU,±1.6%,7,4,+-++,4D_Mixed_+-++,Mixed,🟢 UP,36%,4/11 (5000)
BANPU,±1.6%,7,4,+-+-,4D_Reversal_Down,Reversal,🔴 DOWN,33%,6/18 (5000)
BANPU,±1.6%,7,4,+--+,4D_Mixed_+--+,Mixed,🔴 DOWN,50%,6/12 (5000)
BANPU,±1.6%,7,4,+---,4D_Reversal_Down,Reversal,🟢 UP,54%,6/11 (5000)
BANPU,±1.6%,7,4,-+++,4D_Reversal_Up,Reversal,🟢 UP,70%,7/10 (5000)
BANPU,±1.6%,7,4,-++-,4D_Mixed_-++-,Mixed,🟢 UP,27%,3/11 (5000)
BANPU,±1.6%,7,4,-+-+,4D_Reversal_Up,Reversal,🟢 UP,28%,4/14 (5000)
BANPU,±1.6%,7,4,-+--,4D_Mixed_-+--,Mixed,🔴 DOWN,42%,3/7 (5000)
BANPU,±1.6%,7,4,--++,4D_Reversal_Up,Reversal,🔴 DOWN,46%,6/13 (5000)
BANPU,±1.6%,7,4,--+-,4D_Mixed_--+-,Mixed,🟢 UP,78%,11/14 (5000)
BANPU,±1.6%,7,4,---+,4D_Reversal_Up,Reversal,🔴 DOWN,57%,8/14 (5000)
BANPU,±1.6%,7,4,----,4_Days_Down,Trend,🟢 UP,87%,7/8 (5000)
BANPU,±1.6%,7,4,+++++,Streak_Up_5,Breakout,🟢 UP,100%,3/3 (5000)
BANPU,±1.6%,7,4,++++++,Streak_Up_6,Breakout,🟢 UP,100%,2/2 (5000)
BANPU,±1.6%,7,4,+++++++,Streak_Up_7,Breakout,🟢 UP,100%,1/1 (5000)
BBL,±1.5%,4,4,+,1_Days_Up,Trend,🟢 UP,44%,308/686 (5000)
BBL,±1.5%,4,4,-,1_Days_Down,Trend,🟢 UP,47%,294/624 (5000)
BBL,±1.5%,4,4,++,2_Days_Up,Trend,🔴 DOWN,43%,56/130 (5000)
BBL,±1.5%,4,4,+-,2D_Reversal_Down,Reversal,🟢 UP,46%,52/113 (5000)
