Market,Symbol,Bucket,Trades,WinRate,AvgReturn
THAI,SET,Normal,514,40.66147859922179,0.030707708421510937
THAI,SET,High Vol,538,43.12267657992565,0.07186791926674166
THAI,SET,Spike,267,41.947565543071164,0.07967787566602631
THAI,SET,Low Vol,304,42.10526315789473,0.16387591673981558
THAI,SET,Normal,297,40.4040404040404,0.004392169232585222
THAI,SET,High Vol,259,40.15444015444015,-0.11387671342101736
THAI,SET,Spike,131,38.16793893129771,0.006315762249406506
THAI,SET,Low Vol,318,46.22641509433962,0.07547433343204532
THAI,SET,Normal,342,38.30409356725146,-0.09747445355488855
THAI,SET,High Vol,318,46.540880503144656,0.2767815707849504
THAI,SET,Spike,109,43.11926605504588,0.0012550315629514797
THAI,SET,Low Vol,814,46.06879606879607,0.1315879490797733
THAI,SET,Normal,599,40.73455759599332,-0.05711335737073548
